SLURM_JOB_ID = 14272968
SLURM JOBID: 14272968
SLURM JOBID: 14272968
== jobstats: running vmstat in background to monitor cpu usage and memory stats
== jobstats: running vmstat in background to monitor cpu usage and memory stats
Number of nodes of list (body:0) 1049 
Number of element of list(body:0) 1984 
Number of ghost nodes 112
Number of nodes of list (body:1) 1049 
Number of element of list(body:1) 1984 
Number of ghost nodes 112
Number of nodes of list (body:2) 1049 
Number of element of list(body:2) 1984 
Number of ghost nodes 112
Fung learning rate file successfully has being read
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
dir = ../lr_100_init_10_se_fiber_un_fung
Inverse model initialized
Residual smoothing option has being selected
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10077, Average Loss: 0.0000003005, body: 0, theta: -0.798768
Epoch 10078, Average Loss: 0.0000003005, body: 0, theta: -0.798713
Epoch 10079, Average Loss: 0.0000003005, body: 0, theta: -0.798666
Epoch 10080, Average Loss: 0.0000003005, body: 0, theta: -0.798655
Epoch 10081, Average Loss: 0.0000003005, body: 0, theta: -0.798674
Epoch 10082, Average Loss: 0.0000003005, body: 0, theta: -0.798687
Epoch 10083, Average Loss: 0.0000003005, body: 0, theta: -0.798673
Epoch 10084, Average Loss: 0.0000003005, body: 0, theta: -0.798636
Epoch 10085, Average Loss: 0.0000003005, body: 0, theta: -0.798604
Epoch 10086, Average Loss: 0.0000003005, body: 0, theta: -0.798596
Epoch 10087, Average Loss: 0.0000003005, body: 0, theta: -0.798605
Epoch 10088, Average Loss: 0.0000003005, body: 0, theta: -0.798606
Epoch 10089, Average Loss: 0.0000003005, body: 0, theta: -0.798587
Epoch 10090, Average Loss: 0.0000003005, body: 0, theta: -0.798556
Epoch 10091, Average Loss: 0.0000003005, body: 0, theta: -0.798533
Epoch 10092, Average Loss: 0.0000003005, body: 0, theta: -0.798528
Epoch 10093, Average Loss: 0.0000003005, body: 0, theta: -0.798531
Epoch 10094, Average Loss: 0.0000003005, body: 0, theta: -0.798527
Epoch 10095, Average Loss: 0.0000003005, body: 0, theta: -0.798509
Epoch 10096, Average Loss: 0.0000003005, body: 0, theta: -0.798485
Epoch 10097, Average Loss: 0.0000003005, body: 0, theta: -0.798470
Epoch 10098, Average Loss: 0.0000003005, body: 0, theta: -0.798472
Epoch 10099, Average Loss: 0.0000003005, body: 0, theta: -0.798481
Epoch 10100, Average Loss: 0.0000003005, body: 0, theta: -0.798484
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10101, Average Loss: 0.0000003005, body: 0, theta: -0.797280
Epoch 10102, Average Loss: 0.0000003034, body: 0, theta: -0.798189
Epoch 10103, Average Loss: 0.0000003042, body: 0, theta: -0.800959
Epoch 10104, Average Loss: 0.0000003041, body: 0, theta: -0.803670
Epoch 10105, Average Loss: 0.0000003043, body: 0, theta: -0.804607
Epoch 10106, Average Loss: 0.0000003046, body: 0, theta: -0.803811
Epoch 10107, Average Loss: 0.0000003046, body: 0, theta: -0.802796
Epoch 10108, Average Loss: 0.0000003047, body: 0, theta: -0.802982
Epoch 10109, Average Loss: 0.0000003041, body: 0, theta: -0.804386
Epoch 10110, Average Loss: 0.0000003034, body: 0, theta: -0.805807
Epoch 10111, Average Loss: 0.0000003028, body: 0, theta: -0.806118
Epoch 10112, Average Loss: 0.0000003021, body: 0, theta: -0.805328
Epoch 10113, Average Loss: 0.0000003015, body: 0, theta: -0.804391
Epoch 10114, Average Loss: 0.0000003012, body: 0, theta: -0.804183
Epoch 10115, Average Loss: 0.0000003007, body: 0, theta: -0.804686
Epoch 10116, Average Loss: 0.0000003002, body: 0, theta: -0.805093
Epoch 10117, Average Loss: 0.0000002999, body: 0, theta: -0.804659
Epoch 10118, Average Loss: 0.0000003000, body: 0, theta: -0.803476
Epoch 10119, Average Loss: 0.0000003001, body: 0, theta: -0.802375
Epoch 10120, Average Loss: 0.0000003000, body: 0, theta: -0.802065
Epoch 10121, Average Loss: 0.0000002999, body: 0, theta: -0.802418
Epoch 10122, Average Loss: 0.0000002998, body: 0, theta: -0.802657
Epoch 10123, Average Loss: 0.0000002999, body: 0, theta: -0.802177
Epoch 10124, Average Loss: 0.0000003000, body: 0, theta: -0.801118
Epoch 10125, Average Loss: 0.0000003002, body: 0, theta: -0.800150
Epoch 10126, Average Loss: 0.0000003004, body: 0, theta: -0.799796
Epoch 10127, Average Loss: 0.0000003006, body: 0, theta: -0.799974
Epoch 10128, Average Loss: 0.0000003006, body: 0, theta: -0.800149
Epoch 10129, Average Loss: 0.0000003007, body: 0, theta: -0.799857
Epoch 10130, Average Loss: 0.0000003008, body: 0, theta: -0.799111
Epoch 10131, Average Loss: 0.0000003009, body: 0, theta: -0.798340
Epoch 10132, Average Loss: 0.0000003010, body: 0, theta: -0.797964
Epoch 10133, Average Loss: 0.0000003010, body: 0, theta: -0.798011
Epoch 10134, Average Loss: 0.0000003011, body: 0, theta: -0.798140
Epoch 10135, Average Loss: 0.0000003011, body: 0, theta: -0.798016
Epoch 10136, Average Loss: 0.0000003010, body: 0, theta: -0.797630
Epoch 10137, Average Loss: 0.0000003009, body: 0, theta: -0.797268
Epoch 10138, Average Loss: 0.0000003009, body: 0, theta: -0.797185
Epoch 10139, Average Loss: 0.0000003008, body: 0, theta: -0.797364
Epoch 10140, Average Loss: 0.0000003007, body: 0, theta: -0.797558
Epoch 10141, Average Loss: 0.0000003006, body: 0, theta: -0.797550
Epoch 10142, Average Loss: 0.0000003005, body: 0, theta: -0.797354
Epoch 10143, Average Loss: 0.0000003005, body: 0, theta: -0.797179
Epoch 10144, Average Loss: 0.0000003004, body: 0, theta: -0.797208
Epoch 10145, Average Loss: 0.0000003004, body: 0, theta: -0.797418
Epoch 10146, Average Loss: 0.0000003003, body: 0, theta: -0.797608
Epoch 10147, Average Loss: 0.0000003003, body: 0, theta: -0.797607
Epoch 10148, Average Loss: 0.0000003003, body: 0, theta: -0.797446
Epoch 10149, Average Loss: 0.0000003003, body: 0, theta: -0.797317
Epoch 10150, Average Loss: 0.0000003003, body: 0, theta: -0.797375
Epoch 10151, Average Loss: 0.0000003004, body: 0, theta: -0.797596
Epoch 10152, Average Loss: 0.0000003004, body: 0, theta: -0.797819
Epoch 10153, Average Loss: 0.0000003004, body: 0, theta: -0.797909
Epoch 10154, Average Loss: 0.0000003004, body: 0, theta: -0.797874
Epoch 10155, Average Loss: 0.0000003004, body: 0, theta: -0.797838
Epoch 10156, Average Loss: 0.0000003005, body: 0, theta: -0.797911
Epoch 10157, Average Loss: 0.0000003005, body: 0, theta: -0.798090
Epoch 10158, Average Loss: 0.0000003006, body: 0, theta: -0.798271
Epoch 10159, Average Loss: 0.0000003006, body: 0, theta: -0.798355
Epoch 10160, Average Loss: 0.0000003006, body: 0, theta: -0.798343
Epoch 10161, Average Loss: 0.0000003006, body: 0, theta: -0.798321
Epoch 10162, Average Loss: 0.0000003006, body: 0, theta: -0.798368
Epoch 10163, Average Loss: 0.0000003006, body: 0, theta: -0.798478
Epoch 10164, Average Loss: 0.0000003006, body: 0, theta: -0.798577
Epoch 10165, Average Loss: 0.0000003006, body: 0, theta: -0.798609
Epoch 10166, Average Loss: 0.0000003006, body: 0, theta: -0.798589
Epoch 10167, Average Loss: 0.0000003006, body: 0, theta: -0.798580
Epoch 10168, Average Loss: 0.0000003006, body: 0, theta: -0.798625
Epoch 10169, Average Loss: 0.0000003005, body: 0, theta: -0.798711
Epoch 10170, Average Loss: 0.0000003005, body: 0, theta: -0.798777
Epoch 10171, Average Loss: 0.0000003005, body: 0, theta: -0.798782
Epoch 10172, Average Loss: 0.0000003005, body: 0, theta: -0.798739
Epoch 10173, Average Loss: 0.0000003005, body: 0, theta: -0.798704
Epoch 10174, Average Loss: 0.0000003005, body: 0, theta: -0.798716
Epoch 10175, Average Loss: 0.0000003005, body: 0, theta: -0.798760
Epoch 10176, Average Loss: 0.0000003005, body: 0, theta: -0.798788
Epoch 10177, Average Loss: 0.0000003005, body: 0, theta: -0.798768
Epoch 10178, Average Loss: 0.0000003005, body: 0, theta: -0.798712
Epoch 10179, Average Loss: 0.0000003005, body: 0, theta: -0.798665
Epoch 10180, Average Loss: 0.0000003005, body: 0, theta: -0.798655
Epoch 10181, Average Loss: 0.0000003005, body: 0, theta: -0.798674
Epoch 10182, Average Loss: 0.0000003005, body: 0, theta: -0.798687
Epoch 10183, Average Loss: 0.0000003005, body: 0, theta: -0.798673
Epoch 10184, Average Loss: 0.0000003005, body: 0, theta: -0.798636
Epoch 10185, Average Loss: 0.0000003005, body: 0, theta: -0.798604
Epoch 10186, Average Loss: 0.0000003005, body: 0, theta: -0.798596
Epoch 10187, Average Loss: 0.0000003005, body: 0, theta: -0.798605
Epoch 10188, Average Loss: 0.0000003005, body: 0, theta: -0.798606
Epoch 10189, Average Loss: 0.0000003005, body: 0, theta: -0.798587
Epoch 10190, Average Loss: 0.0000003005, body: 0, theta: -0.798556
Epoch 10191, Average Loss: 0.0000003005, body: 0, theta: -0.798533
Epoch 10192, Average Loss: 0.0000003005, body: 0, theta: -0.798528
Epoch 10193, Average Loss: 0.0000003005, body: 0, theta: -0.798531
Epoch 10194, Average Loss: 0.0000003005, body: 0, theta: -0.798528
Epoch 10195, Average Loss: 0.0000003005, body: 0, theta: -0.798509
Epoch 10196, Average Loss: 0.0000003005, body: 0, theta: -0.798485
Epoch 10197, Average Loss: 0.0000003005, body: 0, theta: -0.798470
Epoch 10198, Average Loss: 0.0000003005, body: 0, theta: -0.798472
Epoch 10199, Average Loss: 0.0000003005, body: 0, theta: -0.798481
Epoch 10200, Average Loss: 0.0000003005, body: 0, theta: -0.798484
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Spatially Uniform Jacobian
Epoch 10201, Average Loss: 0.0000003005, body: 0, theta: -0.797281
Epoch 10202, Average Loss: 0.0000003034, body: 0, theta: -0.798190
