CPU_MEM_TOTAL: 394153260
CPUS_ON_NODE: 48
CPUS_ON_NODE: 48
REQUESTED_CPUS: 1
REQUESTED_CPUS: 1
REQUESTED_NODES 1
REQUESTED_NODES 1
NODE_NAME: c696
NODE_NAME: c696
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
14  0   5964 372384896   5060 5081596    0    0     1     2    0    0 35  1 63  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
13  0   5964 369408512   5060 5249964    0    0     0     5 12580  774 25  0 75  0  0
13  0   5964 369408224   5060 5250044    0    0     0   966 12431  497 25  0 75  0  0
12  0   5964 369408224   5060 5250044    0    0     0   966 12431  497 25  0 75  0  0
13  0   5964 369401312   5060 5253332    0    0     0 11623 12516  741 25  0 75  0  0
12  0   5964 369401312   5060 5253332    0    0     0 11623 12516  741 25  0 75  0  0
13  0   5964 369396480   5060 5256724    0    0     0     6 12570  551 25  0 75  0  0
12  0   5964 369396480   5060 5256724    0    0     0     6 12570  551 25  0 75  0  0
13  0   5964 369396448   5060 5256724    0    0     0     2 12525  471 25  0 75  0  0
12  0   5964 369396448   5060 5256724    0    0     0     2 12525  471 25  0 75  0  0
13  0   5964 369386688   5060 5260092    0    0     0     0 11674  484 23  0 77  0  0
12  0   5964 369386688   5060 5260092    0    0     0     0 11674  484 23  0 77  0  0
13  0   5964 369381184   5060 5263460    0    0     0     7 13146 3012 25  0 75  0  0
12  0   5964 369381184   5060 5263460    0    0     0     7 13146 3012 25  0 75  0  0
13  0   5964 369376544   5060 5266832    0    0     0     0 12460  492 25  0 75  0  0
12  0   5964 369376544   5060 5266832    0    0     0     0 12460  492 25  0 75  0  0
13  0   5964 369442112   5060 5270208    0    0     0     0 12455  498 25  0 75  0  0
12  0   5964 369442112   5060 5270208    0    0     0     0 12455  498 25  0 75  0  0
13  0   5964 369438976   5060 5273580    0    0     0     1 12500  542 25  0 75  0  0
12  0   5964 369438976   5060 5273580    0    0     0     1 12501  542 25  0 75  0  0
13  0   5964 369435264   5060 5276952    0    0     0     9 12442  492 25  0 75  0  0
12  0   5964 369435264   5060 5276952    0    0     0     9 12442  492 25  0 75  0  0
13  0   5964 369431584   5060 5280324    0    0     0     0 12465  491 25  0 75  0  0
12  0   5964 369431584   5060 5280324    0    0     0     0 12465  491 25  0 75  0  0
13  0   5964 369427808   5060 5283704    0    0     0   966 12664  827 25  0 75  0  0
12  0   5964 369427808   5060 5283704    0    0     0   966 12664  827 25  0 75  0  0
13  0   5964 369420160   5060 5287072    0    0     0     4 12406  540 25  0 75  0  0
13  0   5964 369420160   5060 5287072    0    0     0     4 12406  540 25  0 75  0  0
13  0   5964 369418880   5060 5288272    0    0     0 11623 12514  679 25  0 75  0  0
12  0   5964 369418880   5060 5288272    0    0     0 11623 12514  679 25  0 75  0  0
13  0   5964 369416640   5060 5290436    0    0     0     1 12505  560 25  0 75  0  0
12  0   5964 369416640   5060 5290436    0    0     0     1 12505  560 25  0 75  0  0
13  0   5964 369413248   5060 5291412    0    0     0     5 11539  478 23  0 77  0  0
12  0   5964 369413248   5060 5291412    0    0     0     5 11539  478 23  0 77  0  0
13  0   5964 369410656   5060 5293800    0    0     0     0 12450  470 25  0 75  0  0
12  0   5964 369410656   5060 5293800    0    0     0     0 12450  470 25  0 75  0  0
13  0   5964 369402976   5060 5297176    0    0     0     0 12563  767 25  0 75  0  0
12  0   5964 369402976   5060 5297176    0    0     0     0 12563  767 25  0 75  0  0
13  0   5964 369398944   5060 5300544    0    0     0     5 12447  502 25  0 75  0  0
12  0   5964 369398944   5060 5300544    0    0     0     5 12447  502 25  0 75  0  0
13  0   5964 369394848   5060 5303908    0    0     0     0 12432  498 25  0 75  0  0
12  0   5964 369394848   5060 5303908    0    0     0     0 12432  498 25  0 75  0  0
13  0   5964 369390944   5060 5307280    0    0     0     0 12539  539 25  0 75  0  0
12  0   5964 369390944   5060 5307280    0    0     0     0 12539  539 25  0 75  0  0
13  0   5964 369477984   5060 5310652    0    0     0     9 12466  523 25  0 75  0  0
12  0   5964 369477984   5060 5310652    0    0     0     9 12466  523 25  0 75  0  0
13  0   5964 369474400   5060 5314020    0    0     0   966 12484  498 25  0 75  0  0
12  0   5964 369474400   5060 5314020    0    0     0   966 12484  498 25  0 75  0  0
13  0   5964 369457952   5060 5317384    0    0     0     0 12587  811 25  0 75  0  0
12  0   5964 369457952   5060 5317384    0    0     0     0 12587  811 25  0 75  0  0
13  0   5964 369454368   5060 5320748    0    0     0     2 12462  503 25  0 75  0  0
12  0   5964 369454368   5060 5320748    0    0     0     2 12462  503 25  0 75  0  0
13  0   5964 369450784   5060 5324128    0    0     0     0 12469  496 25  0 75  0  0
12  0   5964 369450784   5060 5324128    0    0     0     0 12469  496 25  0 75  0  0
13  0   5964 369444704   5060 5324136    0    0     0 11623 11649  698 23  0 77  0  0
12  0   5964 369444704   5060 5324136    0    0     0 11623 11649  698 23  0 77  0  0
13  0   5964 369440832   5060 5327500    0    0     0    12 12435  467 25  0 75  0  0
12  0   5964 369440832   5060 5327500    0    0     0    12 12435  467 25  0 75  0  0
13  0   5964 369439584   5060 5328700    0    0     0     0 12385  420 25  0 75  0  0
12  0   5964 369439584   5060 5328700    0    0     0     0 12385  420 25  0 75  0  0
13  0   5964 369436864   5060 5330880    0    0     0     0 12669  768 25  0 75  0  0
12  0   5964 369436864   5060 5330880    0    0     0     0 12669  768 25  0 75  0  0
13  0   5964 369433184   5060 5334248    0    0     0     8 12463  450 25  0 75  0  0
12  0   5964 369433184   5060 5334248    0    0     0     8 12463  450 25  0 75  0  0
13  0   5964 369429696   5060 5337624    0    0     0     0 12426  457 25  0 75  0  0
12  0   5964 369429696   5060 5337624    0    0     0     0 12426  457 25  0 75  0  0
14  0   5964 369426016   5060 5340992    0    0     0     0 12469  484 25  0 75  0  0
13  0   5964 369426016   5060 5340992    0    0     0     0 12469  484 25  0 75  0  0
13  0   5964 369422528   5060 5344364    0    0     0    58 12442  517 25  0 75  0  0
12  0   5964 369422528   5060 5344364    0    0     0    58 12442  517 25  0 75  0  0
13  0   5964 369419040   5060 5347732    0    0     0     0 12465  537 25  0 75  0  0
12  0   5964 369419040   5060 5347732    0    0     0     0 12465  537 25  0 75  0  0
13  0   5964 369414688   5060 5351108    0    0     0  9173 13238 3178 25  0 75  0  0
12  0   5964 369414688   5060 5351108    0    0     0  9173 13238 3178 25  0 75  0  0
13  0   5964 372432832   5060 5354652    0    0     0    13 11313  591 22  0 78  0  0
12  0   5964 372432832   5060 5354652    0    0     0    13 11313  591 22  0 78  0  0
12  0   5964 372429248   5060 5358016    0    0     0  2934 11466  544 23  0 77  0  0
11  0   5964 372429248   5060 5358016    0    0     0  2934 11466  544 23  0 77  0  0
12  0   5964 372429792   5060 5358024    0    0     0     0 11509  504 23  0 77  0  0
11  0   5964 372429792   5060 5358024    0    0     0     0 11509  504 23  0 77  0  0
12  0   5964 372426112   5060 5361388    0    0     0    25 11483  509 23  0 77  0  0
11  0   5964 372426112   5060 5361388    0    0     0    25 11483  509 23  0 77  0  0
